"Clave","Tipo","Resumen","Estado","Prioridad","Epic","Epic summary","Clave padre","Resumen padre","Sprint","Creador","Informador","Asignado","Creada","Actualizada","Fecha de vencimiento","Fecha de inicio","Story points","Votos","Clasificación","Color de la incidencia","Categoría de estado","Categoría de estado cambiada","Descripción"
"SGS-13","Sub-task","Aplicar paleta de colores corporativos","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-11","HU-00.03 Configurar Frontend y Sistema Visual","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:10","18/08/2026 10:10","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0003j:","","Por hacer","18/ago/26 10:10 AM","Definir variables CSS: --color-primary: #0B192C (azul marino), --color-secondary: #D4AF37 (dorado), --color-success: #198754, --color-danger: #DC3545, --color-warning: #FFC107. Aplicar al navbar, botones, badges y componentes visuales."
"SGS-14","Sub-task","Diseñar Navbar corporativo responsive","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-11","HU-00.03 Configurar Frontend y Sistema Visual","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:11","18/08/2026 10:11","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0003r:","","Por hacer","18/ago/26 10:11 AM","Crear navbar superior con fondo #0B192C, texto blanco, logo 'SIGES' con acento dorado #D4AF37. Incluir menú colapsable para móvil, enlaces de navegación y botón de cierre de sesión. Ocultar opciones según rol del usuario."
"SGS-15","Task","HU-00.04 Crear Shell PWA y Service Worker","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:12","18/08/2026 10:12","25/08/2026 00:00","18/08/2026 00:00","2","0","0|i0003z:","","Por hacer","18/ago/26 10:12 AM","*Como* desarrollador frontend, *quiero* configurar la PWA y Service Worker *para* permitir instalación de la aplicación y funcionamiento offline básico."
"SGS-16","Sub-task","Crear manifest.json y configuración PWA","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-15","HU-00.04 Crear Shell PWA y Service Worker","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:13","18/08/2026 10:13","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i00047:","","Por hacer","18/ago/26 10:13 AM","Crear manifest.json con name: 'SIGES', short_name: 'SIGES', start_url: '/', display: 'standalone', theme_color: '#0B192C', background_color: '#FFFFFF'. Definir iconos en diferentes tamaños (72x72, 96x96, 128x128, 144x144, 152x152, 192x192, 384x384, 512x512)."
"SGS-17","Sub-task","Implementar Service Worker (sw.js)","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-15","HU-00.04 Crear Shell PWA y Service Worker","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:14","18/08/2026 10:14","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0004f:","","Por hacer","18/ago/26 10:14 AM","Crear sw.js con estrategia Cache-First para assets estáticos. Cachear archivos CSS, JS, imágenes y HTML base. Implementar fetch event y activación de la PWA. Registrar el Service Worker desde el archivo principal."
"SGS-18","Task","HU-00.05 Configurar Repositorio y Flujo Git","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:15","18/08/2026 10:15","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0004n:","","Por hacer","18/ago/26 10:15 AM","*Como* equipo de desarrollo, *quiero* configurar el repositorio Git y flujo de trabajo *para* gestionar el código fuente de forma colaborativa y organizada."
"SGS-19","Sub-task","Inicializar repositorio Git y ramas","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-18","HU-00.05 Configurar Repositorio y Flujo Git","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:16","18/08/2026 10:16","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0004v:","","Por hacer","18/ago/26 10:16 AM","Inicializar repositorio Git local. Crear ramas main (producción), develop (desarrollo) y feature/* (nuevas funcionalidades). Establecer política de commits y pull requests. Crear repositorio remoto en GitHub y conectar."
"SGS-20","Sub-task","Crear .gitignore y documentación","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-18","HU-00.05 Configurar Repositorio y Flujo Git","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:17","18/08/2026 10:17","25/08/2026 00:00","18/08/2026 00:00","0","0","0|i00053:","","Por hacer","18/ago/26 10:17 AM","Crear .gitignore para excluir: credenciales/config.php, uploads temporales, archivos de sistema, .env, node_modules (si aplica). Documentar flujo mínimo de colaboración para dos desarrolladores en README.md."
"SGS-21","Task","HU-00.06 Definir Seguridad Base","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:18","18/08/2026 10:18","25/08/2026 00:00","18/08/2026 00:00","2","0","0|i0005b:","","Por hacer","18/ago/26 10:18 AM","*Como* equipo de desarrollo, *quiero* implementar medidas de seguridad base *para* proteger el sistema contra vulnerabilidades comunes."
"SGS-22","Sub-task","Implementar PDO con consultas preparadas","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-21","HU-00.06 Definir Seguridad Base","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:19","18/08/2026 10:19","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0005j:","","Por hacer","18/ago/26 10:19 AM","Crear clase Database con métodos query, fetch, fetchAll, execute. Usar PDO con prepared statements para todas las consultas. Implementar manejo de excepciones y logging de errores sin exponer información sensible."
"SGS-23","Sub-task","Implementar protección CSRF y XSS","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-21","HU-00.06 Definir Seguridad Base","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:20","18/08/2026 10:20","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0005r:","","Por hacer","18/ago/26 10:20 AM","Implementar tokens CSRF en formularios. Validar token en cada POST. Escapar salida HTML con htmlspecialchars(). Validar y sanitizar entradas con filtros de PHP. Configurar headers de seguridad (X-Frame-Options, X-Content-Type-Options, etc.)."
"SGS-24","Epic","EPIC-01 Autenticación, Seguridad y Control de Accesos","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos",,,,"Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:21","18/08/2026 10:21","01/09/2026 00:00","18/08/2026 00:00","0","0","0|i0005z:","dark_purple","Por hacer","18/ago/26 10:21 AM","Módulo encargado de la autenticación, autorización, gestión de usuarios, roles y permisos del sistema SIGES. Implementa login seguro, registro de clientes, recuperación de contraseña y control de acceso basado en roles (OWNER, EMPLOYEE, CLIENT)."
"SGS-25","Task","HU-01.01 Diseñar Login Responsive","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:22","18/08/2026 10:22","01/09/2026 00:00","18/08/2026 00:00","2","0","0|i00067:","","Por hacer","18/ago/26 10:22 AM","*Como* usuario del sistema, *quiero* iniciar sesión con mi correo y contraseña *para* acceder al sistema según mi rol."
"SGS-26","Sub-task","Diseñar formulario de login centrado","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-25","HU-01.01 Diseñar Login Responsive","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:23","18/08/2026 10:23","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0006f:","","Por hacer","18/ago/26 10:23 AM","Crear página de login con formulario centrado vertical y horizontalmente. Incluir campos: email (type=email), contraseña (type=password), checkbox 'Recordarme'. Usar tarjeta blanca con sombra, encabezado azul marino #0B192C. El botón 'Iniciar Sesión' debe ser dorado #D4AF37 con texto #0B192C."
"SGS-27","Sub-task","Implementar lógica de autenticación PHP","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-25","HU-01.01 Diseñar Login Responsive","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:24","18/08/2026 10:24","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0006n:","","Por hacer","18/ago/26 10:24 AM","Implementar endpoint POST /api/auth/login. Validar email en tabla users. Verificar estado del usuario (status=1). Comparar contraseña con password_verify(). Iniciar sesión con session_start() y guardar user_id, role, name. Responder con redirección controlada o error genérico (no revelar si el usuario existe)."
"SGS-28","Task","HU-01.02 Implementar Roles y Autorización","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:25","18/08/2026 10:25","01/09/2026 00:00","18/08/2026 00:00","2","0","0|i0006v:","","Por hacer","18/ago/26 10:25 AM","*Como* sistema, *quiero* controlar el acceso a los módulos según el rol del usuario *para* garantizar que cada usuario vea solo lo que le corresponde."
"SGS-29","Sub-task","Crear middleware de autenticación","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-28","HU-01.02 Implementar Roles y Autorización","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:26","18/08/2026 10:26","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i00073:","","Por hacer","18/ago/26 10:26 AM","Crear función Auth::check() que verifique sesión activa. Implementar Auth::requireLogin() para rutas protegidas. Redirigir a /login si no está autenticado. Registrar intentos de acceso no autorizado en audit_log."
"SGS-30","Sub-task","Crear middleware de autorización por rol","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-28","HU-01.02 Implementar Roles y Autorización","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:27","18/08/2026 10:27","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0007b:","","Por hacer","18/ago/26 10:27 AM","Crear función Auth::authorize($roles) que verifique si el rol del usuario está en el array permitido. Responder HTTP 403 (Prohibido) si no tiene permisos. Implementar en cada módulo: authorize(['OWNER','EMPLOYEE']) para empleados, authorize(['OWNER']) para configuraciones."
"SGS-31","Task","HU-01.03 Registrar Clientes y Usuarios","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:28","18/08/2026 10:28","01/09/2026 00:00","18/08/2026 00:00","3","0","0|i0007j:","","Por hacer","18/ago/26 10:28 AM","*Como* usuario, *quiero* registrarme en el sistema *para* acceder como cliente o, si soy OWNER, gestionar empleados."
"SGS-32","Sub-task","Diseñar formulario de registro de cliente","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-31","HU-01.03 Registrar Clientes y Usuarios","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:29","18/08/2026 10:29","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0007r:","","Por hacer","18/ago/26 10:29 AM","Crear página /register con formulario responsive. Campos: CI (text), Nombre (text), Email (email), Teléfono (text), Dirección (textarea), Contraseña (password), Confirmar Contraseña (password). Botón 'Registrarse' dorado #D4AF37. Validaciones visuales con Bootstrap."
"SGS-33","Sub-task","Implementar registro de clientes en PHP","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-31","HU-01.03 Registrar Clientes y Usuarios","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:30","18/08/2026 10:30","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0007z:","","Por hacer","18/ago/26 10:30 AM","Implementar endpoint POST /api/auth/register. Validar unicidad de email y CI. Crear usuario en tabla users con role_id=3 (CLIENT). Insertar datos en customers. Hash de contraseña con password_hash(). Responder con éxito o errores específicos (email/CI duplicado, campos inválidos)."
"SGS-34","Sub-task","Implementar panel de gestión de empleados (solo OWNER)","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-31","HU-01.03 Registrar Clientes y Usuarios","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:31","18/08/2026 10:31","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i00087:","","Por hacer","18/ago/26 10:31 AM","Crear panel de administración para que el OWNER pueda registrar, listar, editar y desactivar EMPLOYEE. Usar tabla users con role_id=2. Validar que solo OWNER tenga acceso a este módulo. Formulario: nombre, email, contraseña temporal (generada y hasheada), rol. Enviar notificación simulada con credenciales."
"SGS-35","Task","HU-01.04 Recuperar Contraseña y Cerrar Sesión","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:32","18/08/2026 10:32","01/09/2026 00:00","18/08/2026 00:00","2","0","0|i0008f:","","Por hacer","18/ago/26 10:32 AM","*Como* usuario, *quiero* recuperar mi contraseña y cerrar sesión de forma segura *para* mantener el control de mi cuenta."
"SGS-36","Sub-task","Implementar recuperación de contraseña","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-35","HU-01.04 Recuperar Contraseña y Cerrar Sesión","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:33","18/08/2026 10:33","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0008n:","","Por hacer","18/ago/26 10:33 AM","Crear flujo de recuperación de contraseña simulado: endpoint POST /api/auth/forgot que genera token temporal. Crear endpoint POST /api/auth/reset que valida token y actualiza contraseña. No exponer si el email existe o no. Usar token_hash y expiración en tabla password_resets."
"SGS-37","Sub-task","Diseñar pantalla de recuperación y logout","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-35","HU-01.04 Recuperar Contraseña y Cerrar Sesión","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:34","18/08/2026 10:34","01/09/2026 00:00","18/08/2026 00:00","1","0","0|i0008v:","","Por hacer","18/ago/26 10:34 AM","Crear página /forgot-password con campo email y botón 'Enviar enlace' dorado. Crear página /reset-password con campos nueva contraseña y confirmación. Implementar cierre de sesión: destruir sesión con session_destroy(), regenerar session_id, redirigir a /login."
"SGS-38","Sub-task","Diseñar Navbar por rol y pantallas de autenticación","Por hacer","High","SGS-24","EPIC-01 Autenticación, Seguridad y Control de Accesos","SGS-35","HU-01.04 Recuperar Contraseña y Cerrar Sesión","Sprint 1","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:35","18/08/2026 10:35","01/09/2026 00:00","18/08/2026 00:00","0","0","0|i00093:","","Por hacer","18/ago/26 10:35 AM","Crear navbar superior responsive con fondo #0B192C. Mostrar enlaces según rol (OWNER: Dashboard, Empeños, Inventario, Subastas, Reportes, Configuración, Usuarios; EMPLOYEE: Dashboard, Empeños, Inventario, Subastas; CLIENT: Dashboard, Mis Empeños, Subastas, Perfil). Ocultar opciones no autorizadas. Botón de cierre de sesión en esquina superior derecha."
"SGS-39","Epic","EPIC-02 Gestión de Empeños, Contratos y Pagos","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos",,,,"Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:36","18/08/2026 10:36","15/09/2026 00:00","18/08/2026 00:00","0","0","0|i0009b:","yellow","Por hacer","18/ago/26 10:36 AM","Módulo encargado de la gestión completa de empeños: registro de clientes, registro de prendas con fotografías, cálculo de intereses, generación de contratos PDF, refrendos y desempeños."
"SGS-40","Task","HU-02.01 Registrar Cliente en Wizard de Empeño","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:37","18/08/2026 10:37","15/09/2026 00:00","18/08/2026 00:00","3","0","0|i0009j:","","Por hacer","18/ago/26 10:37 AM","*Como* empleado, *quiero* registrar o seleccionar un cliente en el paso 1 del wizard *para* asociarlo a la operación de empeño."
"SGS-41","Sub-task","Diseñar Paso 1 del Wizard - Cliente","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-40","HU-02.01 Registrar Cliente en Wizard de Empeño","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:38","18/08/2026 10:38","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i0009r:","","Por hacer","18/ago/26 10:38 AM","Crear Paso 1 del wizard con búsqueda de cliente por CI/Nombre (autocompletado) y botón 'Registrar Nuevo Cliente'. Mostrar tarjeta con título 'Paso 1: Cliente'. El autocompletado debe sugerir clientes existentes. Botones: 'Continuar' (dorado #D4AF37) y 'Cancelar' (azul marino #0B192C) al pie."
"SGS-42","Sub-task","Implementar validación de cliente en servidor","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-40","HU-02.01 Registrar Cliente en Wizard de Empeño","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:39","18/08/2026 10:39","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i0009z:","","Por hacer","18/ago/26 10:39 AM","Validar en servidor: CI único, email válido, teléfono con formato boliviano (7-8 dígitos), nombre no vacío, dirección no vacía. Normalizar datos (trim, uppercase para CI). Responder errores por campo sin guardar registros incompletos."
"SGS-43","Task","HU-02.02 Registrar Prenda y Capturar Fotografías","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:40","18/08/2026 10:40","15/09/2026 00:00","18/08/2026 00:00","3","0","0|i000a7:","","Por hacer","18/ago/26 10:40 AM","*Como* empleado, *quiero* registrar la prenda y capturar sus fotografías en el paso 2 del wizard *para* documentar el objeto empeñado."
"SGS-44","Sub-task","Diseñar Paso 2 del Wizard - Prenda","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-43","HU-02.02 Registrar Prenda y Capturar Fotografías","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:41","18/08/2026 10:41","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000af:","","Por hacer","18/ago/26 10:41 AM","Crear Paso 2 con campos: nombre de prenda, categoría (dropdown: Joyería, Electrónica, Vehículos, Herramientas, Otros), descripción, valor estimado, condición (Excelente, Bueno, Regular, Malo). Área de captura/subida de fotos con preview. Botón de captura dorado en zona de carga de imágenes. Contador mínimo de 3 fotos."
