"Issue Type","Issue ID","Parent ID","Summary","Description","Assignee","Sprint","Priority"
"Sub-task","1105","1100","Implementar registro de clientes","Usar users y customers con CI, nombre, email, teléfono y dirección. Validar unicidad de email/CI, formatos y campos obligatorios; guardar contraseña con hash seguro y rol CLIENT. Manejar duplicados con mensajes controlados.","Gunnar","Sprint 1","High"
"Sub-task","1106","1100","Implementar recuperación y logout","Crear flujo de recuperación de contraseña simulado mediante token temporal y pantalla de cambio; destruir sesión al cerrar sesión, regenerar session ID al autenticarse y evitar reutilización de tokens.","Gunnar","Sprint 1","High"
"Sub-task","1107","1100","Diseñar pantallas de registro y recuperación","Crear formularios responsive, alertas de validación y confirmación. Botones dorados para acciones principales y enlaces azul marino para navegación secundaria. Mostrar estados sin revelar si un correo existe.","Alexander","Sprint 1","High"
"Task","1200","","Módulo 2 - Gestión de Empeños","Implementar el flujo completo de registro de cliente, prenda, fotografías, contrato, cálculo de intereses, refrendo y desempeño. Las operaciones deben persistir en MySQL y mantener el ciclo de vida de la prenda y contrato.","Gunnar","Sprint 2","High"
"Sub-task","1201","1200","Diseñar formulario de cliente","Crear Paso 1 del formulario de empeño con CI, nombre, email, teléfono y dirección. Ubicar botones Continuar/Cancelar al pie; botón Continuar dorado #D4AF37 y Cancelar azul marino #0B192C. Validar visualmente campos obligatorios.","Alexander","Sprint 2","High"
"Sub-task","1202","1200","Implementar validación de cliente","Usar customers y users. Validar CI, email, teléfono, longitud y obligatoriedad en servidor; normalizar datos y responder errores por campo sin guardar registros incompletos.","Gunnar","Sprint 2","High"
"Sub-task","1203","1200","Diseñar formulario de prenda","Crear Paso 2 con nombre, categoría, descripción, valor estimado, condición y fotografías. Mostrar resumen visual y contador mínimo de 3 fotos. Botón de captura dorado en zona de carga de imágenes.","Alexander","Sprint 2","High"
"Sub-task","1204","1200","Implementar prendas y fotografías","Usar items y item_photos con FK al empeño/prenda. Validar extensión MIME, tamaño, nombre seguro y mínimo de 3 fotografías; almacenar rutas fuera del código y rechazar archivos inválidos con respuesta controlada.","Gunnar","Sprint 2","High"
"Sub-task","1205","1200","Implementar captura de cámara","Integrar input capture y selector de archivos para móvil/PC. Mostrar miniaturas, eliminación y reemplazo antes de enviar. No almacenar imágenes en localStorage como fuente principal.","Alexander","Sprint 2","High"
"Sub-task","1206","1200","Diseñar formulario de contrato","Crear Paso 3 con monto prestado, plazo, modalidad mensual/pago único, tasa y fechas. Mostrar resumen de capital, interés, total y vencimiento. El botón Confirmar contrato debe ser dorado y la zona de cálculo destacada.","Alexander","Sprint 2","High"
"Sub-task","1207","1200","Implementar cálculo de intereses","Usar loans/contracts y configuración de tasas. Validar monto, plazo, modalidad y tasa permitida; calcular en servidor, usando DECIMAL y reglas deterministas. Rechazar valores negativos o manipulados desde cliente.","Gunnar","Sprint 2","High"
"Sub-task","1208","1200","Generar contrato PDF con FPDF/TCPDF","Integrar librería autocontenida incluida en el repositorio, compatible con InfinityFree. Generar PDF con cliente, prenda, monto, intereses, plazo, fechas, condiciones y firmas/aceptación según el modelo del sistema. Manejar errores de generación sin exponer rutas.","Gunnar","Sprint 2","High"
"Sub-task","1209","1200","Implementar refrendo y desempeño","Crear operaciones de pago de intereses para extender plazo y pago total para recuperar prenda. Usar payments y contracts; validar estado, monto, fechas y permisos; ejecutar transacciones y actualizar estados de forma atómica.","Gunnar","Sprint 2","High"
"Sub-task","1210","1200","Diseñar historial del empeño","Crear vista con datos del contrato, pagos, refrendos, estado y descarga del PDF. Usar badges verde/amarillo/rojo según estado y botones de acción dorados solo cuando el rol y estado lo permitan.","Alexander","Sprint 2","High"
"Task","1300","","Módulo 3 - Valuación y Depreciación","Implementar asistente de valuación basado en precios de referencia simulados, depreciación automática para electrónicos y factor de condición. El valor calculado debe quedar registrado y ser trazable.","Gunnar","Sprint 3","High"
"Sub-task","1301","1300","Diseñar asistente de valuación","Crear panel por pasos con categoría, producto, antigüedad, condición y referencias. Colocar resumen de valor estimado en una tarjeta con encabezado azul marino y resultado destacado en dorado.","Alexander","Sprint 3","High"
"Sub-task","1302","1300","Crear tabla de referencias de mercado","Crear market_price_references con categoría, producto, precio referencia, fuente simulada y fecha. Validar precios positivos, fechas y unicidad razonable; permitir actualización solo a OWNER/EMPLOYEE autorizado.","Gunnar","Sprint 3","High"
"Sub-task","1303","1300","Implementar búsqueda de precios simulada","Crear endpoint PHP de consulta a referencias internas. Validar términos, limitar resultados y devolver JSON consistente. No realizar scraping externo incompatible con InfinityFree.","Gunnar","Sprint 3","High"
"Sub-task","1304","1300","Implementar depreciación electrónica","Aplicar fórmula configurada por antigüedad y categoría electrónica. Registrar precio base, porcentaje aplicado y valor resultante para permitir auditoría y evitar recalcular históricamente con parámetros nuevos.","Gunnar","Sprint 3","High"
"Sub-task","1305","1300","Implementar factor de condición","Definir factores para Excelente, Bueno, Regular y Malo. Validar estado permitido y aplicar factor en servidor sobre el valor base/depreciado.","Gunnar","Sprint 3","High"
"Sub-task","1306","1300","Integrar valuación al empeño","Guardar appraisal asociado a item/loan con valor de referencia, depreciación, condición y valor final. Validar que el valor final sea positivo y que solo roles autorizados puedan confirmar la valuación.","Gunnar","Sprint 3","High"
"Sub-task","1307","1300","Diseñar comparación y confirmación","Mostrar precio de referencia, depreciación, condición y valor final en tarjetas comparables. Botón Confirmar valuación dorado en esquina inferior derecha y modal de confirmación antes de guardar.","Alexander","Sprint 3","High"
"Task","1400","","Módulo 4 - Inventario y Trazabilidad","Gestionar ubicación física de prendas mediante pasillo, estante y nivel, mapa visual de ocupación, alertas de vencimiento e historial de movimientos. Toda modificación debe quedar trazada.","Gunnar","Sprint 4","High"
"Sub-task","1401","1400","Diseñar tabla responsive de inventario","Crear tabla de prendas con código, nombre, estado, pasillo, estante y nivel. En móvil convertir filas en tarjetas. Estados con badges verde/amarillo/rojo y búsqueda en la parte superior.","Alexander","Sprint 4","High"
"Sub-task","1402","1400","Crear ubicaciones de almacén","Crear warehouse_locations con pasillo, estante, nivel, capacidad y estado. Validar duplicados y capacidad positiva; controlar acceso de escritura según rol.","Gunnar","Sprint 4","High"
"Sub-task","1403","1400","Asignar ubicación a prendas","Relacionar items con warehouse_locations. Validar que la ubicación esté disponible y que la prenda sea elegible para almacenamiento; actualizar estado dentro de una transacción.","Gunnar","Sprint 4","High"
"Sub-task","1404","1400","Implementar mapa de almacén","Construir representación visual por pasillo/estante/nivel con Bootstrap. Celdas ocupadas, libres y alertadas deben diferenciarse mediante estados y leyenda visible.","Alexander","Sprint 4","High"
"Sub-task","1405","1400","Implementar historial de movimientos","Crear inventory_movements con item_id, ubicación origen/destino, usuario, fecha y motivo. Registrar cada traslado y rechazar cambios sin ubicación válida.","Gunnar","Sprint 4","High"
"Sub-task","1406","1400","Implementar alertas de vencimiento","Consultar contratos próximos a vencer en 3 días y generar registros de notifications. Evitar duplicados mediante clave lógica por contrato/fecha/tipo y manejar fechas en servidor.","Gunnar","Sprint 4","High"
"Sub-task","1407","1400","Diseñar panel de alertas","Crear widget de alertas en la vista de inventario, ubicado sobre la tabla. Amarillo #FFC107 para próximos vencimientos y rojo #DC3545 para vencidos; permitir abrir el detalle de la prenda.","Alexander","Sprint 4","High"
"Task","1500","","Módulo 5 - Motor de Subastas","Implementar conversión de prendas con 90+ días de impago a subasta, publicación pública, pujas de clientes, compra directa +50%, anti-sniping, temporizador y liquidación 70/10/20. La concurrencia debe controlarse mediante transacciones y validación de estado en servidor.","Gunnar","Sprint 5","High"
"Sub-task","1501","1500","Diseñar listado público de subastas","Crear tarjetas con fotografía, nombre, precio actual, incremento mínimo y tiempo restante. Permitir consulta sin autenticación. Botón/CTA dorado para ver detalle.","Alexander","Sprint 5","High"
"Sub-task","1502","1500","Implementar conversión automática a subasta","Crear proceso PHP programable por solicitud o tarea compatible con hosting compartido que detecte contratos con 90+ días de impago. Validar estado, fecha y ausencia de subasta previa antes de crearla.","Gunnar","Sprint 5","High"
"Sub-task","1503","1500","Crear tablas de subastas y pujas","Crear auctions y bids con FK, estado, precio inicial/actual, incremento mínimo, fechas y usuario. Añadir índices por estado/fecha y restricciones para mantener integridad.","Gunnar","Sprint 5","High"
"Sub-task","1504","1500","Implementar puja segura","Validar sesión CLIENT, subasta activa, saldo/monto permitido según modelo, incremento mínimo y hora de cierre. Usar transacción y bloqueo apropiado para evitar dos pujas aceptadas con precio inconsistente.","Gunnar","Sprint 5","High"
"Sub-task","1505","1500","Diseñar detalle y formulario de puja","Crear página de detalle con imagen principal, galería, precio actual, incremento mínimo, historial y formulario de puja. Botón Pujar dorado en la zona inferior del formulario y modal de confirmación.","Alexander","Sprint 5","High"
"Sub-task","1506","1500","Implementar compra directa","Calcular precio fijo como base configurada +50%. Validar que subasta siga activa, registrar compra y cambiar estados de subasta/prenda dentro de una transacción.","Gunnar","Sprint 5","High"
"Sub-task","1507","1500","Implementar anti-sniping","Cuando una puja válida ocurra durante el último minuto, extender el cierre 2 minutos. Registrar extensión y evitar extensiones inconsistentes mediante operación transaccional.","Gunnar","Sprint 5","High"
"Sub-task","1508","1500","Implementar temporizador frontend","Mostrar cuenta regresiva basada en hora de servidor/cierre, actualizar periódicamente y cambiar a estado finalizado cuando corresponda. No confiar en reloj del cliente para aceptar pujas.","Alexander","Sprint 5","High"
"Sub-task","1509","1500","Implementar liquidación 70/10/20","Al finalizar, calcular monto liquidado y registrar distribución 70/10/20 en una tabla de settlements. Validar que porcentajes sumen 100%, que la subasta esté finalizada y que no exista liquidación previa.","Gunnar","Sprint 5","High"
"Sub-task","1510","1500","Diseñar pantalla de liquidación","Mostrar resultado final, precio de venta y distribución 70/10/20 en tarjetas. Estados de confirmación en verde y errores en rojo; botón de consulta/descarga al pie.","Alexander","Sprint 5","High"
"Task","1600","","Módulo 6 - Paneles de Control Personalizados","Crear dashboards diferenciados para OWNER, EMPLOYEE y CLIENT con información autorizada y acciones relevantes. Las métricas deben provenir de MySQL y respetar filtros, estados y permisos.","Alexander","Sprint 6","High"
"Sub-task","1601","1600","Diseñar dashboard OWNER","Crear tarjetas KPI para capital invertido, intereses, empeños activos y subastas activas, además de accesos rápidos. Encabezado azul marino y números destacados en dorado; responsive para PC/tablet/móvil.","Alexander","Sprint 6","High"
"Sub-task","1602","1600","Implementar consultas KPI","Crear consultas agregadas sobre contracts, payments, auctions y settlements. Validar permisos OWNER y filtros temporales; devolver valores DECIMAL y conteos sin duplicar relaciones.","Gunnar","Sprint 6","High"
"Sub-task","1603","1600","Diseñar dashboard EMPLOYEE","Mostrar tareas pendientes, empeños recientes, alertas de vencimiento y accesos a valuación/inventario/subastas. Usar tarjetas compactas y acciones principales doradas.","Alexander","Sprint 6","High"
"Sub-task","1604","1600","Implementar datos del empleado","Crear endpoints PHP que devuelvan solo operaciones permitidas para EMPLOYEE y filtradas por contexto del negocio. Validar sesión y rol antes de cada consulta.","Gunnar","Sprint 6","High"
"Sub-task","1605","1600","Diseñar dashboard CLIENT","Mostrar sus empeños, próximos pagos, estado de prendas y participación en subastas. Ocultar información financiera de otros clientes mediante control de ownership.","Alexander","Sprint 6","High"
"Sub-task","1606","1600","Implementar control de acceso por datos","Aplicar filtros por user_id/customer_id en servidor para impedir IDOR. Devolver 403 cuando un cliente intente consultar recursos de otro usuario.","Gunnar","Sprint 6","High"
"Sub-task","1607","1600","Integrar gráficos con Chart.js","Crear gráficos de evolución de intereses, estados de empeños y subastas. Cargar datos desde endpoints PHP y manejar estado vacío/error sin bloquear el dashboard.","Alexander","Sprint 6","High"
"Task","1700","","Módulo 7 - Notificaciones Automáticas","Implementar notificaciones internas para pagos próximos a vencer, vencimientos y eventos de subasta. Las notificaciones deben persistir en MySQL y mostrar estado leído/no leído.","Gunnar","Sprint 7","High"
"Sub-task","1701","1700","Diseñar centro de notificaciones","Crear campana en navbar con contador y panel desplegable. Notificaciones nuevas destacadas con fondo suave; advertencias en #FFC107, errores en #DC3545 y éxito en #198754.","Alexander","Sprint 7","High"
"Sub-task","1702","1700","Crear tabla de notificaciones","Crear notifications con user_id, tipo, título, mensaje, referencia, fecha, read_at y estado. Añadir índices por usuario/estado/fecha.","Gunnar","Sprint 7","High"
"Sub-task","1703","1700","Generar recordatorios de vencimiento","Detectar contratos próximos a vencer y crear notificaciones evitando duplicados. Validar estado del contrato y fecha de vencimiento en servidor.","Gunnar","Sprint 7","High"
"Sub-task","1704","1700","Notificar eventos de subasta","Crear notificaciones para puja superada, compra directa, finalización y resultado cuando corresponda. Validar destinatario y referencia antes de insertar.","Gunnar","Sprint 7","High"
"Sub-task","1705","1700","Implementar marcado como leído","Crear endpoint PHP para marcar una o todas las notificaciones como leídas. Verificar que el registro pertenezca al usuario autenticado y devolver respuesta JSON controlada.","Gunnar","Sprint 7","High"
"Sub-task","1706","1700","Integrar actualización periódica","Actualizar contador mediante fetch/AJAX polling compatible con InfinityFree, con intervalo razonable y manejo de errores. No depender de WebSockets.","Alexander","Sprint 7","High"
"Task","1800","","Módulo 8 - Reportes Financieros Avanzados y Configuración","Implementar reportes financieros con filtros por categoría, estado y fecha, exportación CSV, gráficos y configuración de tasas/parámetros del sistema. Solo OWNER puede modificar configuración y acceder a información financiera global.","Gunnar","Sprint 8","High"
"Sub-task","1801","1800","Diseñar pantalla de reportes","Crear encabezado, filtros superiores, tabla de resultados y zona de gráficos. Filtros en controles Bootstrap; botón Aplicar dorado #D4AF37 y Exportar CSV azul marino #0B192C.","Alexander","Sprint 8","High"
"Sub-task","1802","1800","Implementar filtros avanzados","Filtrar por categoría, estado, rango de fechas y producto. Usar consultas parametrizadas sobre items/contracts/payments/auctions. Validar fechas, rangos y valores permitidos; devolver errores de filtro sin ejecutar consultas inválidas.","Gunnar","Sprint 8","High"
"Sub-task","1803","1800","Implementar reportes financieros","Calcular capital prestado, intereses generados, pagos, montos de subastas y distribución de liquidaciones. Evitar doble conteo mediante agregaciones separadas y respetar permisos OWNER.","Gunnar","Sprint 8","High"
"Sub-task","1804","1800","Implementar exportación CSV","Crear endpoint PHP que genere CSV con encabezados, escape correcto de comas/comillas y UTF-8. Aplicar los mismos filtros del reporte y validar autorización antes de generar la descarga.","Gunnar","Sprint 8","High"
"Sub-task","1805","1800","Diseñar gráficos financieros","Crear gráficos de evolución por fecha, distribución por estado y categorías. Ubicarlos debajo de filtros y encima de la tabla; mostrar estado vacío si no existen datos.","Alexander","Sprint 8","High"
"Sub-task","1806","1800","Crear configuración del sistema","Crear system_settings para tasas, margen de compra directa y días de gracia/subasta. Validar claves permitidas, rangos numéricos y rol OWNER; registrar fecha/usuario de modificación.","Gunnar","Sprint 8","High"
"Sub-task","1807","1800","Diseñar formulario de configuración","Crear panel OWNER con campos de tasa de interés, margen de compra directa y días de gracia. Botón Guardar dorado, modal de confirmación y alerta verde tras actualización.","Alexander","Sprint 8","High"
"Sub-task","1808","1800","Pruebas integrales y seguridad final","Ejecutar pruebas de autenticación, permisos, empeños, pagos, valuación, inventario, subastas concurrentes, notificaciones, reportes y exportación. Verificar CSRF, SQLi, XSS, IDOR, uploads y control de sesiones.","Gunnar","Sprint 8","High"
"Sub-task","1809","1800","Pruebas responsive y PWA","Validar PC, tablet y móvil, instalación PWA, caché de assets y comportamiento offline básico. Comprobar que las operaciones que requieren servidor informen claramente cuando no hay conexión.","Alexander","Sprint 8","High"
"Sub-task","1810","1800","Documentar despliegue InfinityFree","Documentar subida de archivos, configuración de base MySQL, credenciales fuera del repositorio, permisos de uploads, URL base, HTTPS y comprobaciones posteriores al despliegue. No depender de Composer/CLI en producción.","Gunnar","Sprint 8","High"
"Sub-task","1811","1800","Manual de usuario y cierre","Documentar flujos de OWNER, EMPLOYEE y CLIENT, operaciones de empeño, valuación, inventario, subastas, notificaciones y reportes. Registrar criterios de aceptación y evidencias de pruebas.","Alexander","Sprint 8","High"
"Task","1890","","Cierre del MVP y preparación de entrega","Consolidar la versión MVP correspondiente a los módulos 1 a 8, verificar que todas las tareas críticas estén terminadas, ejecutar smoke test de producción y preparar la entrega académica.","Gunnar","Sprint 8","Highest"
"Sub-task","1891","1890","Ejecutar smoke test de producción","Probar login por rol, creación de empeño, contrato PDF, valuación, inventario, subasta, notificaciones y reporte desde la URL de despliegue. Registrar incidencias bloqueantes.","Gunnar","Sprint 8","High"
"Sub-task","1892","1890","Verificar UI final","Comprobar consistencia de navbar, botones, tablas, formularios, estados y responsive usando la paleta corporativa. Corregir defectos visuales críticos.","Alexander","Sprint 8","High"
"Sub-task","1893","1890","Preparar evidencia Jira","Verificar que Tasks y Sub-tasks tengan Sprint, responsable, prioridad y Parent ID correcto; adjuntar evidencias de pruebas y cierre conforme al flujo Scrum.","Alexander","Sprint 8","High"
